site_location,DEPOT,GOVERNORS ISLAND,4 SOUTH STREET - WHITEHALL FERRY TERMINAL,COURTYARD WEST,PIER 40 DOG RUN,PIER 40 COURTYARD AND TUNNEL,PIER 45,PIER 51,PIER 57,PIER 40,CHELSEA WATERSIDE PARK FIELD,CHELSEA WATERSIDE PARK PLAYGROUND,PIER 66 SEATING AREA,1 RANDALLS ISLAND PARK,RANDALLS ISLAND,RIVERSIDE DR TO BROADWAY W 192 ST TO DYCKMAN ST,BROADWAY AND ARDEN,DYKMAN ST AND HUDSON RIVER,765 MANIDA ST - HUNTS POINT RECREATION CENTER,161-164 WALTON AVE - JOYCE KILMER PARK,2900 SOUTHERN BLVD - VISITORS SERVICE CENTER,BRONX ZOO - THROUGHOUT THE ZOO,2300 SOUTHERN BLVD - BRONX ZOO MAIN ENTRANCE,6301 RIVERDALE AVE - CAMPUS WIDE,ORCHARD BEACH ROAD - BOATHOUSE,ORCHARD BEACH ROAD - PELHAM PLAYGROUND,ORCHARD BEACH ROAD - BASKETBALL COURT AREA,2551 WESTCHESTER AVE - OWEN DOLEN REC CENTER,FRONT ST AND JAY ST,210 JORALEMON ST - INSIDE BUILDING,141 LIVINGSTON ST - INSIDE BUILDING,120 SCHERMERHORN ST - INSIDE BUILDING,PEARL STREET TRIANGLE,ARCHWAY ON ADAMS STREET SIDE,OLD FULTON PLAZA,450 FLATBUSH AVE - PP ZOO,990 WASHINGTON AVE - BBG,1555 LINDEN BLVD,NY AQUARIUM,FLOYD BENNETT FIELD TRAINING CENTER,PASSERELLE CIRCLE - FLUSHING MEADOW PARK,FLUSHING MEADOW PARK PLAYGROUNDS,QUEENS HALL OF SCIENCE,QUEENS ZOO,QUEENS THEATRE,QUEENS MUSEUM,AL ORTER RECREATION CENTER,93-29 QUEENS BLVD - LBH RECREATION CENTER,43-50 MAIN ST - QUEENS BOTANICAL GARDEN,KISSENA BLVD AND HORACE HARDING EXPRESSWAY,N/W/C 150 STREET / MELBOURNE AVE,177-01 BAISLEY BLVD - ROY WILKINS PARK,133-39 GUY BREWER BLVD - VIC HANSEN REC CENTER,106-16 173RD ST - DETECTIVE KEITH WILLIAMS REC CENTER,WINCHESTER BLVD & GRAND CENTRAL PARKWAY,WINCHESTER BLVD & UNION TURNPIKE,B95TH ST / BEACH - ROCKAWAY BEACH,B92ND ST / BEACH - ROCKAWAY BEACH,B17TH ST / BEACH - ROCKAWAY BEACH,B13TH ST / BEACH - ROCKAWAY BEACH,6 VICTORY BLVD - LYONS POOL,CLOVE RD AND CHESHIRE PL,CLOVE RD AND VICTORY BLVD,DAVIS AVE AND DELAFIELD AVE,SNUG HARBOR CULTURAL CENTER,2800 VICTORY BLVD - COLLEGE OF STATEN ISLAND,625 FATHER CAPODANNO BLVD - OCEAN BREEZE,700 ROCKLAND AVE - GREENBELT NATURE CENTER,IFO 1617 RICHMOND ROAD - NYPL DONGAN HILLS,NEW DORP LANE - MILLER FIELD COMPLEX,IFO 222 POLLION AVE - BLUE HERON NATURE CENTER,FRESH KILLS PARK VISITOR CENTER,GREAT KILLS PARK
DEPOT,0.0,3317.2,2504.9,5307.6,3557.3,2925.1,5242.6,4661.8,4929.1,2925.1,5130.8,5143.5,6599.9,15708.8,15708.8,19749.2,22477.7,22628.7,18992.0,17734.9,25719.6,21955.5,21999.1,26044.0,31415.3,31870.6,31885.9,24943.4,3447.6,3812.4,3950.8,4224.6,4526.9,3537.7,3275.2,7439.7,8042.5,17487.5,18708.9,25363.0,18167.0,18318.8,18600.9,18127.8,18275.2,18019.5,18234.8,14442.8,18458.5,20553.2,19241.7,28155.3,26924.7,23505.1,31127.7,29340.0,32067.7,31891.1,36329.9,36206.7,25505.4,22330.0,22448.3,25692.5,26056.9,26086.4,20230.8,23787.7,22270.8,25639.8,33911.2,36607.1,28518.2
GOVERNORS ISLAND,6475.4,0.0,2071.8,7682.0,5931.8,5299.5,7617.0,7036.3,7303.6,5299.5,7505.3,7517.9,8974.3,17005.2,17005.2,23801.5,23774.1,23925.1,20288.4,19031.3,27016.0,23251.9,23295.5,29719.2,32711.7,33167.0,33182.3,26239.7,5263.6,5628.4,5766.8,6040.6,6342.9,5353.7,5091.2,9255.7,9858.5,17668.2,18889.6,25543.7,22329.9,22746.1,22763.8,22290.7,22438.1,22182.4,22397.8,18605.8,22621.4,24716.2,23404.6,32318.3,31087.6,27668.1,35290.6,33502.9,32248.4,32071.8,40492.9,40369.6,25686.1,22510.7,22629.0,25873.1,26237.6,26267.1,20411.5,23968.4,22451.5,25820.5,34091.9,36787.8,28698.9
4 SOUTH STREET - WHITEHALL FERRY TERMINAL,5344.9,1516.0,0.0,5616.0,3865.7,3233.4,5551.0,4970.2,5237.5,3233.4,5439.2,5451.9,6908.2,16526.7,16526.7,20057.6,23295.6,20655.7,19809.9,18552.8,26537.5,22773.4,22817.0,26352.3,32233.2,32688.5,32703.8,25761.3,4133.1,4497.9,4636.3,6367.7,5212.4,4223.2,3960.7,8910.4,8896.7,15602.1,16823.5,23477.6,21851.4,19021.0,22285.4,21812.3,21959.7,21704.0,21919.3,18127.3,22142.9,24237.7,22926.2,31839.8,30609.1,27189.6,34812.1,33024.5,30182.3,30005.7,35577.1,35453.9,23620.1,20444.6,20562.9,23807.1,24171.5,24201.0,18345.4,21902.3,20385.4,23754.5,32025.8,34721.7,26632.8
COURTYARD WEST,6296.0,5034.5,3573.8,0.0,1038.0,405.7,2598.5,2017.8,2285.1,405.7,2486.8,2499.4,3955.8,14189.8,14189.8,17105.1,18236.0,17703.3,17473.0,16765.6,22532.7,21405.6,21449.2,23399.9,31931.2,32386.5,32401.8,24287.7,5221.5,5586.3,5724.7,5998.5,6300.8,5311.6,5049.1,8714.3,8700.5,17749.9,18971.3,25625.4,18874.9,19119.9,19308.9,18835.8,18983.2,18727.5,18942.8,15150.8,19166.4,21261.2,19949.6,28863.3,27632.6,24213.1,31835.6,30047.9,32330.1,32153.4,37037.9,36914.6,25767.8,22592.4,22710.7,25954.8,26319.3,26348.8,20493.2,24050.0,22533.2,25902.2,33557.0,34603.8,28780.5
PIER 40 DOG RUN,6730.0,5468.4,4007.8,3259.3,0.0,1252.0,3194.3,2613.5,2880.8,1252.0,3082.6,3095.2,4551.6,16225.8,16225.8,17700.9,18831.8,18299.0,18120.0,17361.4,23128.5,22001.4,22045.0,23995.7,32527.0,32982.3,32997.6,24883.4,5655.5,6020.2,6158.6,6432.4,6734.8,5745.5,5483.1,9148.3,9134.5,18183.8,19405.2,26059.3,19522.0,19715.6,19955.9,19482.8,19630.2,19374.5,19589.8,15797.8,19813.4,21908.2,20596.7,29510.3,28279.7,24860.1,32482.7,30695.0,32764.0,32587.4,37684.9,37561.7,26201.8,23026.3,23144.7,26388.8,26753.2,26782.7,20927.1,24484.0,22967.1,26336.2,33991.0,35037.7,29214.5
PIER 40 COURTYARD AND TUNNEL,6118.9,4857.3,3396.6,2648.2,656.5,0.0,2583.2,2002.4,2269.7,0.0,2471.4,2484.1,3940.5,15614.6,15614.6,17089.8,18220.6,17687.9,17508.9,16750.3,22517.3,21390.2,21433.8,23384.6,31915.8,32371.1,32386.5,24272.3,5044.3,5409.1,5547.5,5821.3,6123.7,5134.4,4871.9,8537.1,8523.4,17572.7,18794.1,25448.2,18910.8,19104.5,19344.8,18871.7,19019.1,18763.4,18978.7,15186.7,19202.3,21297.1,19985.6,28899.2,27668.5,24249.0,31871.5,30083.9,32152.9,31976.3,37073.8,36950.6,25590.6,22415.2,22533.5,25777.7,26142.1,26171.6,20316.0,23872.9,22356.0,25725.0,33379.9,34426.6,28603.4
PIER 45,6361.0,5099.5,3638.8,65.0,1103.0,470.8,0.0,2082.8,2350.1,470.8,2551.8,2564.5,4020.8,14254.8,14254.8,17170.1,18301.0,17768.3,17538.0,16830.6,22597.7,21470.6,21514.2,23464.9,31996.2,32451.5,32466.8,24352.7,5286.5,5651.3,5789.7,6063.5,6365.8,5376.6,5114.1,8779.3,8765.6,17814.9,19036.3,25690.4,18939.9,19184.9,19373.9,18900.8,19048.2,18792.5,19007.8,15215.8,19231.4,21326.2,20014.6,28928.3,27697.6,24278.1,31900.6,30113.0,32395.1,32218.5,37102.9,36979.7,25832.8,22657.4,22775.7,26019.8,26384.3,26413.8,20558.2,24115.0,22598.2,25967.2,33622.0,34668.8,28845.6
PIER 51,6941.8,5680.2,4219.6,645.8,1683.8,1051.5,580.8,0.0,2930.9,1051.5,3132.6,3145.2,4601.6,14835.6,14835.6,17750.9,18881.8,18349.1,18118.8,17411.4,23178.5,22051.4,22095.0,24045.7,32577.0,33032.3,33047.6,24933.5,5867.3,6232.1,6370.5,6644.3,6946.6,5957.4,5694.9,9360.1,9346.3,18395.7,19617.1,26271.2,19520.7,19765.7,19954.6,19481.6,19629.0,19373.3,19588.6,15796.6,19812.2,21907.0,20595.4,29509.1,28278.4,24858.9,32481.4,30693.7,32975.9,32799.2,37683.7,37560.4,26413.6,23238.2,23356.5,26600.6,26965.1,26994.6,21139.0,24695.8,23178.9,26548.0,34202.8,35249.6,29426.3
PIER 57,7551.0,6289.4,4828.7,1254.9,2293.0,1660.7,1189.9,609.1,0.0,1660.7,926.7,939.3,2138.2,14069.9,14069.9,15545.0,16675.9,16143.2,17891.1,15205.5,20972.6,19845.5,19889.1,21839.8,30371.1,30826.4,30841.7,22727.6,6476.4,6841.2,6979.6,7253.4,7555.8,6566.5,6304.0,9969.2,9955.5,19004.8,20226.2,26880.3,18209.2,18625.4,18643.1,18170.0,18317.5,18061.8,18277.1,14485.1,18500.7,20595.5,19283.9,28197.6,26966.9,23547.4,31169.9,29382.2,33585.0,33408.4,36372.2,36248.9,27022.7,23847.3,23965.6,27209.8,27574.2,27603.7,21748.1,25305.0,23788.1,27157.1,34812.0,35858.7,30035.5
PIER 40,6118.9,4857.3,3396.6,2648.2,656.5,0.0,2583.2,2002.4,2269.7,0.0,2471.4,2484.1,3940.5,15614.6,15614.6,17089.8,18220.6,17687.9,17508.9,16750.3,22517.3,21390.2,21433.8,23384.6,31915.8,32371.1,32386.5,24272.3,5044.3,5409.1,5547.5,5821.3,6123.7,5134.4,4871.9,8537.1,8523.4,17572.7,18794.1,25448.2,18910.8,19104.5,19344.8,18871.7,19019.1,18763.4,18978.7,15186.7,19202.3,21297.1,19985.6,28899.2,27668.5,24249.0,31871.5,30083.9,32152.9,31976.3,37073.8,36950.6,25590.6,22415.2,22533.5,25777.7,26142.1,26171.6,20316.0,23872.9,22356.0,25725.0,33379.9,34426.6,28603.4
CHELSEA WATERSIDE PARK FIELD,8210.1,6948.5,5487.9,1914.1,2952.1,2319.8,1849.1,1268.3,674.9,2319.8,0.0,12.7,1571.0,13245.2,13245.2,14720.3,15851.2,15318.5,17066.4,14380.8,20147.9,19020.8,19064.4,21015.1,29546.4,30001.7,30017.0,21902.9,7135.6,7500.4,7638.8,7912.5,8214.9,7225.7,6963.2,10628.4,10614.6,19664.0,20885.4,27539.5,17642.6,18058.9,18076.6,17603.5,17750.9,17495.2,17710.5,13918.5,17934.1,20028.9,18717.4,27631.0,26400.3,22980.8,30603.3,28815.7,31154.1,30992.2,35805.6,35682.4,27681.9,24506.5,24624.8,27868.9,28233.4,28262.9,22407.3,25964.1,24447.2,27816.3,35471.1,36517.9,30694.6
CHELSEA WATERSIDE PARK PLAYGROUND,8222.8,6961.2,5500.5,1926.7,2964.8,2332.5,1861.7,1281.0,687.6,2332.5,12.7,0.0,1558.3,13232.5,13232.5,14707.7,15838.5,15305.8,17053.7,14368.2,20135.2,19008.1,19051.7,21002.4,29533.7,29989.0,30004.4,21890.2,7148.2,7513.0,7651.4,7925.2,8227.6,7238.3,6975.9,10641.1,10627.3,19676.6,20898.0,27552.1,17655.3,18071.5,18089.2,17616.1,17763.6,17507.9,17723.2,13931.2,17946.8,20041.6,18730.0,27643.7,26413.0,22993.5,30616.0,28828.3,31166.7,31004.9,35818.3,35695.0,27694.6,24519.1,24637.4,27881.6,28246.0,28275.5,22419.9,25976.8,24459.9,27829.0,35483.8,36530.5,30707.3
PIER 66 SEATING AREA,8504.0,7242.4,5781.8,2208.0,3246.0,2613.7,2142.9,1562.2,968.8,2613.7,412.0,399.3,0.0,12925.5,12925.5,15075.3,16206.2,15673.5,16208.7,14735.8,20502.9,19375.8,19419.4,21370.1,29901.4,30356.7,30372.0,22257.9,7429.5,7794.2,7932.6,8206.4,8508.8,7519.5,7257.1,10922.3,10908.5,19957.8,21179.2,27833.3,17611.1,18027.3,18045.0,17571.9,17719.4,17463.7,17679.0,13887.0,17902.6,19997.4,18685.8,27599.5,26368.8,22949.3,30571.8,28784.1,31122.5,30960.7,35774.1,35650.8,27975.8,24800.3,24918.6,28162.8,28527.2,28556.7,22701.1,26258.0,24741.1,28110.2,35765.0,36811.7,30988.5
1 RANDALLS ISLAND PARK,22229.7,17945.6,17133.3,15298.5,15692.8,15060.5,15233.5,14652.7,14837.0,15060.5,13791.7,13779.0,13868.3,0.0,0.0,10170.7,10183.2,10334.2,4296.1,4547.3,11236.1,8315.0,8358.5,15347.0,16181.4,16636.7,16652.0,9709.4,18560.0,21037.9,20998.0,21450.1,20966.0,21207.3,20944.8,22652.2,21483.9,21124.3,36353.4,41406.7,13400.5,13590.8,12995.0,13361.3,13508.8,13253.1,14857.3,12634.0,14677.4,15256.1,17582.9,26358.2,25127.6,21708.0,28931.1,27346.9,37062.9,36901.1,34532.8,34409.6,43150.0,39974.5,40092.9,43337.0,43701.4,43730.9,37875.3,41432.2,39915.3,43284.4,51555.7,59881.7,46162.7
RANDALLS ISLAND,22229.7,17945.6,17133.3,15298.5,15692.8,15060.5,15233.5,14652.7,14837.0,15060.5,13791.7,13779.0,13868.3,0.0,0.0,10170.7,10183.2,10334.2,4296.1,4547.3,11236.1,8315.0,8358.5,15347.0,16181.4,16636.7,16652.0,9709.4,18560.0,21037.9,20998.0,21450.1,20966.0,21207.3,20944.8,22652.2,21483.9,21124.3,36353.4,41406.7,13400.5,13590.8,12995.0,13361.3,13508.8,13253.1,14857.3,12634.0,14677.4,15256.1,17582.9,26358.2,25127.6,21708.0,28931.1,27346.9,37062.9,36901.1,34532.8,34409.6,43150.0,39974.5,40092.9,43337.0,43701.4,43730.9,37875.3,41432.2,39915.3,43284.4,51555.7,59881.7,46162.7
RIVERSIDE DR TO BROADWAY W 192 ST TO DYCKMAN ST,26639.0,24812.7,24000.4,18004.7,19042.7,18410.5,17939.7,17358.9,16765.5,18410.5,16208.7,16196.1,15796.8,10677.7,10677.7,0.0,2117.9,1585.2,10582.5,8257.9,7474.7,7782.8,7826.4,7281.8,18689.7,19145.0,19160.3,11046.1,25427.1,25791.9,25930.3,26204.1,28958.7,25517.2,25254.7,30644.9,29476.6,29117.0,36976.0,49399.4,21393.2,21583.5,20987.8,21354.1,21501.5,21245.8,20989.9,20626.7,21875.3,21087.4,23788.8,32020.7,33120.3,30593.0,31442.4,29858.2,45055.7,44893.8,42525.6,42402.3,44541.3,40597.1,40715.4,43970.4,44703.1,43861.6,38497.9,45745.5,40537.9,43906.9,56673.0,54123.6,46785.3
BROADWAY AND ARDEN,25478.9,23652.7,22840.3,17074.7,18112.7,17480.4,17009.7,16428.9,15835.5,17480.4,15278.7,15266.0,14866.7,9517.6,9517.6,5531.9,0.0,413.3,10508.9,7097.8,6314.6,6622.7,6666.3,6449.3,18616.0,19071.3,19086.7,10972.5,24267.1,24631.8,24770.2,25044.0,27798.6,24357.1,24094.7,29484.8,28316.5,27957.0,36046.0,48239.3,20233.1,20423.4,19827.7,20194.0,20341.4,20085.7,20916.2,19466.6,21801.7,21013.8,23715.1,31947.1,31960.2,30519.3,31368.7,29784.6,43895.6,43733.7,41365.5,41242.2,44889.9,39667.1,39785.4,44319.1,45051.8,44210.3,37567.9,46094.1,39607.9,42976.9,57021.7,54472.3,45855.2
DYKMAN ST AND HUDSON RIVER,25756.8,23930.6,23118.3,17458.2,18496.2,17863.9,17393.1,16812.4,16219.0,17863.9,15662.2,15649.5,15250.2,9795.6,9795.6,5915.3,940.5,0.0,10786.8,7375.8,6592.5,6900.7,6944.2,6832.8,18894.0,19349.3,19364.6,11250.5,24545.0,24909.8,25048.2,25322.0,28076.6,24635.1,24372.6,29762.8,28594.4,28234.9,36429.4,48517.3,20511.1,20701.4,20105.6,20471.9,20619.3,20363.6,21194.2,19744.6,22079.6,21291.7,23993.1,32225.0,32238.1,30797.3,31646.7,30062.5,44173.5,44011.7,41643.4,41520.2,45167.9,40050.5,40168.9,44597.1,45329.7,44488.2,37951.3,46372.1,39991.3,43360.4,57299.6,54750.3,46238.7
765 MANIDA ST - HUNTS POINT RECREATION CENTER,23940.2,20752.4,19940.1,18105.3,18499.6,17867.3,18040.3,17459.5,17643.8,17867.3,16598.5,16585.8,16675.1,6756.5,6756.5,11190.6,11286.1,11788.8,0.0,6555.4,6613.5,5351.3,5394.9,17355.1,13160.6,13615.9,13631.2,6688.6,23108.0,22748.4,22708.5,23160.6,22676.5,22917.8,22655.3,24362.7,23194.3,22834.8,38063.9,43117.2,15111.0,15301.3,14705.5,15071.8,15219.2,14963.5,15439.9,14344.5,16325.3,15537.4,18238.8,26488.6,26838.1,25060.9,25910.3,24326.1,38773.4,38611.6,36243.3,36120.1,44860.5,41685.0,41803.3,45047.5,45411.9,45441.4,39585.8,43142.7,41625.8,44994.9,53266.2,60901.6,47873.2
161-164 WALTON AVE - JOYCE KILMER PARK,24752.2,19550.6,18738.3,14955.1,15993.1,15360.8,14890.0,14309.3,13715.9,15360.8,13159.1,13146.4,12747.1,5415.6,5415.6,5763.3,6339.0,6361.5,5569.0,0.0,8124.6,6997.5,7041.1,10939.6,17523.1,17978.4,17993.8,9879.6,23920.1,23560.4,23520.5,23972.6,23488.5,23729.8,23467.4,25174.7,24006.4,23646.8,38876.0,43929.2,15923.0,16113.3,15517.6,15883.9,16031.3,15775.6,17379.8,15156.5,17199.9,17778.6,20105.4,28880.7,27650.1,24230.5,30275.8,28691.7,39585.5,39423.6,37055.4,36932.1,45891.9,42497.1,42615.4,45321.1,46053.7,45212.3,40397.9,43954.7,42437.8,45806.9,58023.6,55474.3,48685.2
2900 SOUTHERN BLVD - VISITORS SERVICE CENTER,30143.5,26955.7,26143.4,22222.7,23260.7,22628.4,22157.7,21576.9,20983.5,22628.4,20426.7,20414.0,20014.7,12959.8,12959.8,9411.4,6296.7,6707.9,8194.6,8290.8,0.0,2071.9,2115.4,8792.0,9381.0,9836.3,9851.7,5157.1,29311.3,28951.7,28911.8,29363.9,28879.8,29121.1,28858.6,30566.0,29397.7,35608.1,47520.1,44600.0,18388.8,18038.6,18229.3,17756.2,18542.2,17647.9,16940.2,20907.7,17825.7,17037.7,19739.1,27971.1,28320.8,26543.3,27392.7,25808.6,40256.2,40094.4,37726.1,37602.9,49540.0,47888.3,48006.6,48969.2,49701.8,48860.3,45789.1,49346.0,47829.1,51198.2,61671.7,59122.4,54076.5
BRONX ZOO - THROUGHOUT THE ZOO,27643.5,24455.7,23643.4,21145.1,22183.2,21550.9,21080.1,20499.4,19906.0,21550.9,19349.2,19336.5,18937.2,10459.8,10459.8,8333.9,6085.5,8932.0,5391.3,7213.3,1842.5,0.0,43.6,9679.1,9834.8,10290.1,10305.4,4707.0,26811.4,26451.8,26411.8,26863.9,26379.9,26621.1,26358.7,28066.1,26897.7,34211.5,46123.5,43203.4,16992.2,16642.0,16832.7,16359.6,17145.5,16251.3,15543.6,19511.1,16429.0,15641.1,18342.5,26574.4,26924.2,25146.7,25996.1,24411.9,38859.6,38697.8,36329.5,36206.3,48462.5,45388.4,45506.7,47891.6,48624.3,47782.8,43289.2,46846.0,45329.2,48698.2,60594.2,58044.8,51576.6
2300 SOUTHERN BLVD - BRONX ZOO MAIN ENTRANCE,27687.1,24499.3,23687.0,21188.7,22226.7,21594.5,21123.7,20542.9,19949.5,21594.5,19392.7,19380.1,18980.8,10503.4,10503.4,8377.5,6129.1,8975.6,5434.9,7256.9,1886.0,43.6,0.0,9722.6,9878.3,10333.6,10349.0,4750.6,26855.0,26495.3,26455.4,26907.5,26423.4,26664.7,26402.3,28109.6,26941.3,34255.1,46167.0,43246.9,17035.7,16685.5,16876.2,16403.1,17189.1,16294.8,15587.2,19554.7,16472.6,15684.7,18386.1,26618.0,26967.8,25190.3,26039.6,24455.5,38903.2,38741.3,36373.1,36249.8,48506.0,45431.9,45550.3,47935.2,48667.8,47826.4,43332.8,46889.6,45372.7,48741.8,60637.8,58088.4,51620.1
6301 RIVERDALE AVE - CAMPUS WIDE,29155.2,29782.1,26433.0,22859.2,23897.2,23264.9,22794.2,22213.4,21620.0,23264.9,21063.2,21050.5,20651.2,15647.1,15647.1,11316.3,6792.0,6039.3,15979.4,11749.3,8218.5,9858.7,9902.3,0.0,14920.7,15376.0,15391.3,13354.3,28080.7,28445.4,28583.8,28857.6,33656.3,28170.7,27908.3,35342.5,34174.1,33814.6,41830.5,52384.8,26173.6,26281.1,25685.3,25541.0,26326.9,25432.7,24725.0,25324.2,25610.5,24822.5,27523.9,35755.8,36105.6,34328.1,35177.5,33593.3,48041.0,47879.2,45510.9,45387.7,52277.4,45451.5,45569.9,51706.6,52439.3,51597.8,43352.4,46909.2,45392.3,48761.4,64409.2,61859.8,51639.7
ORCHARD BEACH ROAD - BOATHOUSE,36116.4,33022.4,32210.1,31980.6,33018.6,32386.4,31915.6,31334.8,30741.4,32386.4,30184.6,30172.0,29772.7,19026.5,19026.5,19169.4,19264.9,19767.5,14261.3,18048.7,9175.0,13115.3,13158.9,18500.3,0.0,1143.1,1158.4,7003.7,35284.3,34924.6,34884.7,35336.8,34852.7,35094.0,34831.5,36538.9,35370.6,36624.2,48536.1,45616.0,19404.8,19054.6,19245.3,18772.2,19558.2,18663.9,17956.3,21923.8,18841.7,18053.8,20755.2,27186.6,29336.9,25758.9,26608.3,25024.1,41272.3,41110.4,38310.6,38187.3,57036.7,53861.2,53979.6,57223.7,57588.1,57617.7,51762.1,55318.9,53802.0,57171.1,71429.7,68880.3,60049.4
ORCHARD BEACH ROAD - PELHAM PLAYGROUND,36832.3,33738.3,32926.0,32696.5,33734.5,33102.3,32631.5,32050.7,31457.3,33102.3,30900.5,30887.9,30488.6,19742.4,19742.4,19885.3,19980.8,20483.4,14977.2,18764.6,9890.9,13831.2,13874.8,19216.2,1769.8,0.0,135.3,7719.6,36000.2,35640.5,35600.6,36052.7,35568.6,35809.9,35547.4,37254.8,36086.5,37340.1,49252.0,46331.9,20120.7,19770.5,19961.2,19488.1,20274.1,19379.8,18672.2,22639.7,19557.6,18769.7,21471.1,27902.5,30052.8,26474.8,27324.2,25740.0,41988.2,41826.3,39026.5,38903.2,57752.6,54577.1,54695.5,57939.6,58304.0,58333.6,52478.0,56034.8,54517.9,57887.0,72145.6,69596.2,60765.3
ORCHARD BEACH ROAD - BASKETBALL COURT AREA,36697.0,33603.0,32790.7,32561.2,33599.2,32967.0,32496.2,31915.4,31322.0,32967.0,30765.2,30752.6,30353.3,19607.1,19607.1,19750.0,19845.4,20348.1,14841.9,18629.3,9755.6,13695.9,13739.5,19080.9,1634.5,488.5,0.0,7584.3,35864.9,35505.2,35465.3,35917.4,35433.3,35674.6,35412.1,37119.5,35951.2,37204.8,49116.7,46196.6,19985.4,19635.2,19825.9,19352.8,20138.8,19244.5,18536.8,22504.3,19422.3,18634.4,21335.8,27767.2,29917.5,26339.5,27188.9,25604.7,41852.9,41691.0,38891.2,38767.9,57617.3,54441.8,54560.2,57804.3,58168.7,58198.3,52342.6,55899.5,54382.6,57751.7,72010.3,69460.9,60630.0
2551 WESTCHESTER AVE - OWEN DOLEN REC CENTER,29991.7,26872.3,26060.0,24111.6,25149.7,24517.4,24046.6,23465.8,22872.5,24517.4,22315.6,22303.0,21903.7,12876.4,12876.4,11300.4,11395.9,11898.5,8111.2,10179.8,5140.5,4565.5,4609.1,15048.0,6627.8,7083.1,7098.5,0.0,29159.6,28799.9,28760.0,29212.1,28728.0,28969.3,28706.9,30414.2,29245.9,30499.5,42411.4,39491.4,13280.1,12929.9,13120.6,12647.5,13433.5,12539.2,11831.6,15799.1,12717.0,11929.1,14630.5,24442.9,23212.2,19819.5,20044.7,19966.1,35147.6,34985.8,32617.5,32494.2,50912.0,47736.5,47854.9,51099.0,51463.5,51493.0,45637.4,49194.2,47677.3,51046.4,63560.7,61011.3,53924.7
FRONT ST AND JAY ST,2100.1,5417.4,4605.1,7407.7,5657.5,5025.2,7342.7,6761.9,7029.3,5025.2,7231.0,7243.6,8700.0,19032.8,19032.8,21849.3,24577.9,24728.9,22468.4,22719.7,29408.5,26487.3,26530.9,28144.1,33054.5,33509.8,33525.2,27165.4,0.0,2052.5,2012.6,2464.7,1537.5,977.9,1098.5,4967.5,5177.8,11451.8,16703.8,20517.3,17340.6,17492.4,17774.5,17301.4,17448.8,17193.1,17408.5,13616.5,17632.1,19726.9,18415.3,27328.9,26098.3,22678.7,30301.3,28513.6,27221.9,27045.3,35503.6,35380.3,23500.4,20324.9,20443.2,23687.4,24051.8,24081.3,18225.7,21782.6,20265.7,23634.8,31906.1,34602.0,26513.1
210 JORALEMON ST - INSIDE BUILDING,2694.6,6011.9,5199.6,7664.3,6196.3,5564.1,7599.3,7018.5,7568.1,5564.1,7769.8,7782.5,9238.9,19107.1,19107.1,22388.2,24910.6,25061.6,22542.8,22794.0,29482.8,26561.7,26605.2,33593.7,33128.9,33584.2,33599.5,27239.7,1492.3,0.0,469.9,703.5,1886.1,1582.3,1319.9,4112.8,4099.1,11266.0,15331.0,19141.5,17414.9,17566.7,17848.9,17375.8,17523.2,17267.5,17482.8,13690.8,17706.4,19801.2,18489.6,27403.3,26172.6,22753.1,30375.6,28588.0,25846.2,25669.6,35577.9,35454.7,22127.5,18952.1,19070.4,22314.6,22679.0,22708.5,16852.9,20409.8,18892.9,22262.0,30533.3,33229.2,25140.3
141 LIVINGSTON ST - INSIDE BUILDING,2465.2,5782.5,4970.2,7772.8,6022.6,5390.3,7707.8,7127.0,7394.3,5390.3,7596.1,7608.7,9065.1,18989.8,18989.8,22214.4,24943.0,25094.0,22425.4,22676.7,29365.5,26444.3,26487.9,33476.4,33011.5,33466.8,33482.2,27122.4,1417.7,354.2,0.0,511.7,1768.8,1936.5,1674.0,3629.4,3615.7,10782.6,15466.9,18658.1,17297.6,17449.4,17731.5,17258.4,17405.8,17150.1,17365.5,13573.5,17589.1,19683.8,18372.3,27285.9,26055.3,22635.7,30258.3,28470.6,25362.8,25186.2,35460.6,35337.3,22263.4,19088.0,19206.3,22450.4,22814.9,22844.4,16988.8,20545.6,19028.8,22397.8,30669.2,33365.1,25276.2
120 SCHERMERHORN ST - INSIDE BUILDING,2708.1,6025.3,5213.0,7739.7,6265.4,5633.1,7674.7,7093.9,7637.2,5633.1,7838.9,7851.6,9307.9,19182.5,19182.5,22457.2,25185.8,25336.8,22618.2,22869.4,29558.3,26637.1,26680.7,33669.1,33204.3,33659.6,33674.9,27315.2,1610.4,597.0,242.8,0.0,1961.5,2002.7,1916.9,3555.3,3541.5,10708.4,15709.7,18583.9,17490.3,17642.2,17924.3,17451.2,17598.6,17342.9,17558.2,13766.2,17781.8,19876.6,18565.1,27478.7,26248.0,22828.5,30451.0,28663.4,25288.6,25112.0,30683.4,30560.2,22506.3,19330.8,19449.1,22693.3,23057.7,23087.2,17231.6,20788.5,19271.6,22640.7,30912.0,33607.9,25519.0
