site_location,DEPOT,GOVERNORS ISLAND,4 SOUTH STREET - WHITEHALL FERRY TERMINAL,COURTYARD WEST,PIER 40 DOG RUN,PIER 40 COURTYARD AND TUNNEL,PIER 45,PIER 51,PIER 57,PIER 40,CHELSEA WATERSIDE PARK FIELD,CHELSEA WATERSIDE PARK PLAYGROUND,PIER 66 SEATING AREA,1 RANDALLS ISLAND PARK,RANDALLS ISLAND,RIVERSIDE DR TO BROADWAY W 192 ST TO DYCKMAN ST,BROADWAY AND ARDEN,DYKMAN ST AND HUDSON RIVER,765 MANIDA ST - HUNTS POINT RECREATION CENTER,161-164 WALTON AVE - JOYCE KILMER PARK,2900 SOUTHERN BLVD - VISITORS SERVICE CENTER,BRONX ZOO - THROUGHOUT THE ZOO,2300 SOUTHERN BLVD - BRONX ZOO MAIN ENTRANCE,6301 RIVERDALE AVE - CAMPUS WIDE,ORCHARD BEACH ROAD - BOATHOUSE,ORCHARD BEACH ROAD - PELHAM PLAYGROUND,ORCHARD BEACH ROAD - BASKETBALL COURT AREA,2551 WESTCHESTER AVE - OWEN DOLEN REC CENTER,FRONT ST AND JAY ST,210 JORALEMON ST - INSIDE BUILDING,141 LIVINGSTON ST - INSIDE BUILDING,120 SCHERMERHORN ST - INSIDE BUILDING,PEARL STREET TRIANGLE,ARCHWAY ON ADAMS STREET SIDE,OLD FULTON PLAZA,450 FLATBUSH AVE - PP ZOO,990 WASHINGTON AVE - BBG,1555 LINDEN BLVD,NY AQUARIUM,FLOYD BENNETT FIELD TRAINING CENTER,PASSERELLE CIRCLE - FLUSHING MEADOW PARK,FLUSHING MEADOW PARK PLAYGROUNDS,QUEENS HALL OF SCIENCE,QUEENS ZOO,QUEENS THEATRE,QUEENS MUSEUM,AL ORTER RECREATION CENTER,93-29 QUEENS BLVD - LBH RECREATION CENTER,43-50 MAIN ST - QUEENS BOTANICAL GARDEN,KISSENA BLVD AND HORACE HARDING EXPRESSWAY,N/W/C 150 STREET / MELBOURNE AVE,177-01 BAISLEY BLVD - ROY WILKINS PARK,133-39 GUY BREWER BLVD - VIC HANSEN REC CENTER,106-16 173RD ST - DETECTIVE KEITH WILLIAMS REC CENTER,WINCHESTER BLVD & GRAND CENTRAL PARKWAY,WINCHESTER BLVD & UNION TURNPIKE,B95TH ST / BEACH - ROCKAWAY BEACH,B92ND ST / BEACH - ROCKAWAY BEACH,B17TH ST / BEACH - ROCKAWAY BEACH,B13TH ST / BEACH - ROCKAWAY BEACH,6 VICTORY BLVD - LYONS POOL,CLOVE RD AND CHESHIRE PL,CLOVE RD AND VICTORY BLVD,DAVIS AVE AND DELAFIELD AVE,SNUG HARBOR CULTURAL CENTER,2800 VICTORY BLVD - COLLEGE OF STATEN ISLAND,625 FATHER CAPODANNO BLVD - OCEAN BREEZE,700 ROCKLAND AVE - GREENBELT NATURE CENTER,IFO 1617 RICHMOND ROAD - NYPL DONGAN HILLS,NEW DORP LANE - MILLER FIELD COMPLEX,IFO 222 POLLION AVE - BLUE HERON NATURE CENTER,FRESH KILLS PARK VISITOR CENTER,GREAT KILLS PARK
DAVIS AVE AND DELAFIELD AVE,23869.4,25004.0,23543.3,27657.8,25907.6,25275.3,27592.8,27012.0,27279.3,25275.3,27481.1,27493.7,28950.1,41161.8,41161.8,44695.9,44662.2,45294.0,44597.5,41811.2,49005.7,47878.6,47922.2,50990.7,55183.6,55638.9,55654.2,49294.4,22875.2,21966.0,21820.2,21615.2,23597.0,22971.5,22945.1,19785.1,20117.6,23907.3,19668.7,28173.6,39469.6,39621.4,39903.6,39430.5,39577.9,39322.2,39537.5,35745.5,39761.1,41855.9,40544.3,42422.9,42170.4,44077.7,52430.3,52835.0,34878.3,34701.7,40422.4,40169.3,1476.6,4058.4,2910.4,0.0,1606.3,7968.5,8291.8,5651.8,7845.0,10277.1,15873.2,15569.3,13851.7
SNUG HARBOR CULTURAL CENTER,24796.3,25930.8,24470.2,28584.7,26834.4,26202.2,28519.7,27938.9,28206.2,26202.2,28407.9,28420.6,29877.0,42088.7,42088.7,45400.8,45367.2,45998.9,45524.4,42738.1,49710.6,48583.6,48627.1,51695.6,56110.5,56565.8,56581.1,50221.3,23802.0,22892.9,22747.1,22542.1,24523.9,23898.4,23872.0,20712.0,21044.5,24834.2,20595.6,29100.5,40396.5,40548.3,40830.4,40357.4,40504.8,40249.1,40464.4,36672.4,40688.0,42782.8,41471.2,43349.8,43097.3,45004.6,53357.2,53761.9,35805.2,35628.6,41349.3,41096.1,275.0,4985.3,3837.2,936.8,0.0,8895.4,9218.7,6578.7,8771.9,11204.0,16552.4,16248.5,14778.6
2800 VICTORY BLVD - COLLEGE OF STATEN ISLAND,24631.0,25765.6,24304.9,27498.5,25748.2,25115.9,27433.5,26852.7,27120.0,25115.9,27321.7,27334.4,28790.7,41923.4,41923.4,44439.1,44405.4,45037.2,45359.1,42572.8,48748.9,47621.8,47665.4,50733.8,55945.2,56400.5,56415.8,50056.0,23636.8,22727.6,22581.8,22376.8,24358.6,23733.1,23706.7,20546.7,20879.2,24668.9,20430.3,28935.2,40231.2,40383.0,40665.2,40192.1,40339.5,40083.8,40299.1,36507.1,40522.7,42617.5,41305.9,43184.5,42932.0,44839.3,53191.9,53596.6,35639.9,35463.3,41184.0,40930.9,8334.2,4742.5,5695.0,7788.4,8521.0,0.0,9053.4,2689.9,6375.7,5879.8,9071.5,10111.2,9454.4
625 FATHER CAPODANNO BLVD - OCEAN BREEZE,18205.1,19339.6,17879.0,21993.5,20243.2,19611.0,21928.5,21347.7,21615.0,19611.0,21816.7,21829.4,23285.8,35497.5,35497.5,36435.1,37565.9,37033.2,38933.2,36146.9,45873.2,42952.0,42995.6,42729.9,49519.3,49974.6,49989.9,43630.1,17210.8,16301.7,16155.9,15950.9,17932.7,17307.1,17280.8,14120.8,14453.3,18243.0,13992.8,22497.6,33805.3,33957.1,34239.2,33766.1,33913.6,33657.9,33873.2,30081.2,34096.8,36191.6,34880.0,36746.9,36494.4,38401.7,46766.0,47159.0,29202.3,29025.7,34746.4,34493.3,8782.3,5606.9,5725.2,8969.3,9333.8,9363.3,0.0,7064.5,3823.0,6282.3,14468.4,19884.0,9466.0
700 ROCKLAND AVE - GREENBELT NATURE CENTER,22459.1,23593.7,22133.0,26247.5,24497.3,23865.0,26182.5,25601.8,25869.1,23865.0,26070.8,26083.4,27539.8,39751.5,39751.5,40689.1,41820.0,41287.3,43187.2,40401.0,50127.3,47206.1,47249.7,46983.9,53773.3,54228.6,54244.0,47884.2,21464.9,20555.7,20410.0,20205.0,22186.7,21561.2,21534.8,18374.8,18707.3,22497.1,18258.5,26763.4,38059.4,38211.2,38493.3,38020.2,38167.6,37911.9,38127.2,34335.2,38350.8,40445.6,39134.1,41012.6,40760.1,42667.4,51020.0,51424.7,33468.0,33291.4,39012.1,38759.0,6008.8,2422.2,3374.7,5790.5,6523.2,2689.9,6881.6,0.0,3750.0,4689.4,10131.3,14398.8,8264.0
IFO 1617 RICHMOND ROAD - NYPL DONGAN HILLS,21348.5,22483.0,21022.4,25136.9,23386.6,22754.4,25071.9,24491.1,24758.4,22754.4,24960.1,24972.8,26429.2,38640.9,38640.9,39578.5,40709.3,40176.6,42076.6,39290.3,49016.6,46095.4,46139.0,45873.3,52662.7,53118.0,53133.3,46773.5,20354.2,19445.1,19299.3,19094.3,21076.1,20450.6,20424.2,17264.2,17596.7,21386.4,17147.8,25652.7,36948.7,37100.5,37382.6,36909.5,37057.0,36801.3,37016.6,33224.6,37240.2,39335.0,38023.4,39902.0,39649.5,41556.8,49909.4,50314.1,32357.4,32180.8,37901.5,37648.3,8069.9,4894.4,5012.7,8256.9,8621.3,5910.1,4006.1,3284.4,0.0,2886.4,10950.4,11171.3,7093.8
NEW DORP LANE - MILLER FIELD COMPLEX,23340.6,24475.2,23014.5,27129.0,25378.8,24746.5,27064.0,26483.3,26750.6,24746.5,26952.3,26964.9,28421.3,40633.0,40633.0,41570.6,42701.5,42168.8,44068.7,41282.5,51008.8,48087.6,48131.2,47865.4,54654.8,55110.1,55125.5,48765.7,22346.4,21437.2,21291.5,21086.5,23068.2,22442.7,22416.3,19256.3,19588.8,23378.6,19140.0,27644.9,38940.9,39092.7,39374.8,38901.7,39049.1,38793.4,39008.7,35216.7,39232.3,41327.1,40015.6,41894.2,41641.6,43548.9,51901.5,52306.2,34349.5,34172.9,39893.6,39640.5,10407.8,5934.0,6886.5,10189.5,10922.1,5644.7,5970.4,4463.2,3018.7,0.0,8513.2,8734.1,4773.5
IFO 222 POLLION AVE - BLUE HERON NATURE CENTER,32612.4,33746.9,32286.3,35297.3,33547.0,32914.7,35232.2,34651.5,34918.8,32914.7,35120.5,35133.2,36589.5,49904.8,49904.8,54867.6,54833.9,55465.7,53340.4,56443.1,59177.4,58050.3,58093.9,61162.3,68575.9,69031.2,69046.5,60932.4,31618.1,30709.0,30563.2,30358.2,32340.0,31714.4,31688.1,28528.1,28860.6,32650.3,28411.7,36916.6,48212.6,48364.4,48646.5,48173.4,48320.8,48065.1,48280.5,44488.5,48504.1,50598.9,49287.3,51165.9,50913.3,52820.7,61173.3,61578.0,43621.3,43444.6,49165.4,48912.2,16401.7,12723.9,13676.4,15748.2,16480.9,9221.4,14541.8,10311.8,11430.0,8624.8,0.0,5488.1,8803.2
FRESH KILLS PARK VISITOR CENTER,31373.6,32508.1,31047.5,33067.9,31317.7,30685.4,33002.9,32422.2,32689.5,30685.4,32891.2,32903.9,34360.2,48666.0,48666.0,50984.9,50951.3,51583.0,56586.1,52560.4,55294.7,54167.7,54211.2,57279.7,64693.3,65148.6,65163.9,57049.7,30379.3,29470.2,29324.4,29119.4,31101.2,30475.6,30449.3,27289.3,27621.8,31411.5,27172.9,35677.8,46973.8,47125.6,47407.7,46934.6,47082.0,46826.3,47041.7,43249.7,47265.3,49360.1,48048.5,49927.1,49674.5,51581.9,59934.5,60339.2,42382.5,42205.8,47926.6,47673.4,14137.3,11485.1,12437.6,13483.8,14216.4,8322.2,15796.0,10451.1,11493.4,8688.1,5697.7,0.0,10403.6
GREAT KILLS PARK,26883.6,28018.1,26557.5,30672.0,28921.7,28289.4,30607.0,30026.2,30293.5,28289.4,30495.2,30507.9,31964.2,44176.0,44176.0,45113.6,46244.4,45711.7,47611.6,44825.4,54551.7,51630.5,51674.1,51408.3,58197.7,58653.0,58668.4,52308.6,25889.3,24980.2,24834.4,24629.4,26611.1,25985.6,25959.2,22799.2,23131.8,26921.5,22682.9,31187.8,42483.8,42635.6,42917.7,42444.6,42592.0,42336.3,42551.6,38759.6,42775.3,44870.0,43558.5,45437.1,45184.5,47091.8,55444.5,55849.1,37892.4,37715.8,43436.5,43183.4,14098.1,10511.5,11809.6,13879.8,14612.5,9335.1,9513.3,8153.5,7127.7,4377.0,8713.2,10403.3,0.0
